Day,Date,Phase(s),Lessons Covered,Est. Study Time (hrs),Resources (links),Daily Task,Assignment,Cumulative Project,Project Application Task,Milestone
12,2026-07-19,P3: Deep Learning Core,"04 Activation Functions — ReLU, Sigmoid, GELU & Why; 05 Loss Functions — MSE, Cross-Entropy, Contrastive; 06 Optimizers — SGD, Momentum, Adam, AdamW; 07 Regularization — Dropout, Weight Decay, BatchNorm; 08 Weight Initialization & Training Stability; 09 Learning Rate Schedules & Warmup",5.5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,Extend the CartQ prep-time model notebook with today's deep learning concept (e.g. a small NN baseline to compare against LightGBM).,
13,2026-07-20,P3: Deep Learning Core,10 Build Your Own Mini Framework; 11 Introduction to PyTorch; 12 Introduction to JAX; 13 Debugging Neural Networks,5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,Extend the CartQ prep-time model notebook with today's deep learning concept (e.g. a small NN baseline to compare against LightGBM).,"PHASE 3 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
14,2026-07-21,P4: Computer Vision,"01 Image Fundamentals — Pixels, Channels, Color Spaces; 02 Convolutions from Scratch; 03 CNNs — LeNet to ResNet; 04 Image Classification; 05 Transfer Learning & Fine-Tuning",5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Menu Vision (stretch),Optional stretch: prototype a menu-photo OCR/classification snippet for CartQ's vendor onboarding flow using today's CV technique.,
15,2026-07-22,P4: Computer Vision,06 Object Detection — YOLO from Scratch; 07 Semantic Segmentation — U-Net; 08 Instance Segmentation — Mask R-CNN; 09 Image Generation — GANs,5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Menu Vision (stretch),Optional stretch: prototype a menu-photo OCR/classification snippet for CartQ's vendor onboarding flow using today's CV technique.,
16,2026-07-23,P4: Computer Vision,"10 Image Generation — Diffusion Models; 11 Stable Diffusion — Architecture & Fine-Tuning; 12 Video Understanding — Temporal Modeling; 13 3D Vision — Point Clouds, NeRFs; 14 Vision Transformers (ViT); 15 Real-Time Vision — Edge Deployment",6,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Menu Vision (stretch),Optional stretch: prototype a menu-photo OCR/classification snippet for CartQ's vendor onboarding flow using today's CV technique.,
17,2026-07-25,P4: Computer Vision,"16 Build a Complete Vision Pipeline; 17 Self-Supervised Vision — SimCLR, DINO, MAE; 18 Open-Vocabulary Vision — CLIP; 19 OCR & Document Understanding; 20 Image Retrieval & Metric Learning",5.5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Menu Vision (stretch),Optional stretch: prototype a menu-photo OCR/classification snippet for CartQ's vendor onboarding flow using today's CV technique.,
18,2026-07-26,P4: Computer Vision,21 Keypoint Detection & Pose Estimation; 22 3D Gaussian Splatting from Scratch; 23 Diffusion Transformers & Rectified Flow; 24 SAM 3 & Open-Vocabulary Segmentation; 25 Vision-Language Models (ViT-MLP-LLM),5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Menu Vision (stretch),Optional stretch: prototype a menu-photo OCR/classification snippet for CartQ's vendor onboarding flow using today's CV technique.,"PHASE 4 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
19,2026-07-27,P4: Computer Vision | P5: NLP,"26 Monocular Depth & Geometry Estimation; 27 Multi-Object Tracking & Video Memory; 28 World Models & Video Diffusion; 01 Text Processing — Tokenization, Stemming, Lemmatization; 02 Bag of Words, TF-IDF & Text Representation",5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/01-text-processing | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/02-bag-of-words-tfidf,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Search & Bangla Agent,"Apply today's NLP technique to CartQ product search or the Bengali AI agent (tokenization, embeddings, or retrieval on Bangla/English menu text).",
20,2026-07-28,P5: NLP,"03 Word Embeddings — Word2Vec from Scratch; 04 GloVe, FastText & Subword Embeddings; 05 Sentiment Analysis; 06 Named Entity Recognition (NER); 07 POS Tagging & Syntactic Parsing",5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/03-word-embeddings-word2vec | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/04-glove-fasttext-subword | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/05-sentiment-analysis | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/06-named-entity-recognition | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/07-pos-tagging-parsing,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Search & Bangla Agent,"Apply today's NLP technique to CartQ product search or the Bengali AI agent (tokenization, embeddings, or retrieval on Bangla/English menu text).",
21,2026-07-29,P5: NLP,08 Text Classification — CNNs & RNNs for Text; 09 Sequence-to-Sequence Models; 10 Attention Mechanism — The Breakthrough; 11 Machine Translation; 12 Text Summarization,5.75,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/08-cnns-rnns-for-text | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/09-sequence-to-sequence | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/10-attention-mechanism | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/11-machine-translation | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/12-text-summarization,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Search & Bangla Agent,"Apply today's NLP technique to CartQ product search or the Bengali AI agent (tokenization, embeddings, or retrieval on Bangla/English menu text).",
22,2026-07-30,P5: NLP,"13 Question Answering Systems; 14 Information Retrieval & Search; 15 Topic Modeling — LDA, BERTopic; 16 Text Generation — Language Models Before Transformers; 17 Chatbots — Rule-Based to Neural",5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/13-question-answering | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/14-information-retrieval-search | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/15-topic-modeling | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/16-text-generation-pre-transformer | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/17-chatbots-rule-to-neural,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Search & Bangla Agent,"Apply today's NLP technique to CartQ product search or the Bengali AI agent (tokenization, embeddings, or retrieval on Bangla/English menu text).",
23,2026-08-01,P5: NLP,"18 Multilingual NLP; 19 Subword Tokenization — BPE, WordPiece, Unigram, SentencePiece; 20 Structured Outputs & Constrained Decoding; 21 NLI & Textual Entailment; 22 Embedding Models Deep Dive; 23 Chunking Strategies for RAG",5.75,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/18-multilingual-nlp | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/19-subword-tokenization | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/20-structured-outputs-constrained-decoding | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/21-nli-textual-entailment | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/22-embedding-models-deep-dive | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/23-chunking-strategies-rag,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Search & Bangla Agent,"Apply today's NLP technique to CartQ product search or the Bengali AI agent (tokenization, embeddings, or retrieval on Bangla/English menu text).",
24,2026-08-02,P5: NLP,"24 Coreference Resolution; 25 Entity Linking & Disambiguation; 26 Relation Extraction & Knowledge Graph Construction; 27 LLM Evaluation — RAGAS, DeepEval, G-Eval; 28 Long-Context Evaluation — NIAH, RULER, LongBench, MRCR",5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/24-coreference-resolution | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/25-entity-linking | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/26-relation-extraction-kg | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/27-llm-evaluation-frameworks | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/28-long-context-evaluation,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Search & Bangla Agent,"Apply today's NLP technique to CartQ product search or the Bengali AI agent (tokenization, embeddings, or retrieval on Bangla/English menu text).","PHASE 5 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
25,2026-08-03,P5: NLP | P6: Speech & Audio,"29 Dialogue State Tracking; 01 Audio Fundamentals — Waveforms, Sampling, Fourier Transform; 02 Spectrograms, Mel Scale & Audio Features; 03 Audio Classification; 04 Speech Recognition (ASR); 05 Whisper — Architecture & Fine-Tuning",6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/05-nlp-foundations-to-advanced/29-dialogue-state-tracking | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/01-audio-fundamentals | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/02-spectrograms-mel-features | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/03-audio-classification | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/04-speech-recognition-asr | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/05-whisper-architecture-finetuning,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Bangla Voice Ordering,"Apply today's speech/audio technique directly to the CartQ Bangla voice-ordering pipeline (ASR, TTS, or streaming audio handling).",
26,2026-08-04,P6: Speech & Audio,06 Speaker Recognition & Verification; 07 Text-to-Speech (TTS); 08 Voice Cloning & Voice Conversion; 09 Music Generation; 10 Audio-Language Models,5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/06-speaker-recognition-verification | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/07-text-to-speech | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/08-voice-cloning-conversion | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/09-music-generation | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/10-audio-language-models,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Bangla Voice Ordering,"Apply today's speech/audio technique directly to the CartQ Bangla voice-ordering pipeline (ASR, TTS, or streaming audio handling).",
27,2026-08-05,P6: Speech & Audio,"11 Real-Time Audio Processing; 12 Build a Voice Assistant Pipeline; 13 Neural Audio Codecs — EnCodec, SNAC, Mimi, DAC; 14 Voice Activity Detection & Turn-Taking",5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/11-real-time-audio-processing | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/12-voice-assistant-pipeline | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/13-neural-audio-codecs | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/14-voice-activity-detection-turn-taking,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Bangla Voice Ordering,"Apply today's speech/audio technique directly to the CartQ Bangla voice-ordering pipeline (ASR, TTS, or streaming audio handling).","PHASE 6 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
28,2026-08-06,P6: Speech & Audio | P7: Transformers Deep Dive,"15 Streaming Speech-to-Speech — Moshi, Hibiki; 16 Voice Anti-Spoofing & Audio Watermarking; 17 Audio Evaluation — WER, MOS, MMAU, Leaderboards; 01 Why Transformers — The Problems with RNNs; 02 Self-Attention from Scratch",5.5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/15-streaming-speech-to-speech-moshi-hibiki | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/16-anti-spoofing-audio-watermarking | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/06-speech-and-audio/17-audio-evaluation-metrics | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/01-why-transformers | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/02-self-attention-from-scratch,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Core Model,"Deepen the transformer internals behind the LLM you call from the Bengali AI agent; note how today's concept shows up in API behavior (context, attention, KV cache).",
29,2026-08-08,P7: Transformers Deep Dive,"03 Multi-Head Attention; 04 Positional Encoding — Sinusoidal, RoPE, ALiBi; 05 The Full Transformer — Encoder + Decoder; 06 BERT — Masked Language Modeling; 07 GPT — Causal Language Modeling",5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/03-multi-head-attention | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/04-positional-encoding | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/05-full-transformer | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/06-bert-masked-language-modeling | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/07-gpt-causal-language-modeling,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Core Model,"Deepen the transformer internals behind the LLM you call from the Bengali AI agent; note how today's concept shows up in API behavior (context, attention, KV cache).",
30,2026-08-09,P7: Transformers Deep Dive,"08 T5, BART — Encoder-Decoder Models; 09 Vision Transformers (ViT); 10 Audio Transformers — Whisper Architecture; 11 Mixture of Experts (MoE); 12 KV Cache, Flash Attention & Inference Optimization; 13 Scaling Laws",5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/08-t5-bart-encoder-decoder | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/09-vision-transformers | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/10-audio-transformers-whisper | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/11-mixture-of-experts | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/12-kv-cache-flash-attention | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/13-scaling-laws,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Core Model,"Deepen the transformer internals behind the LLM you call from the Bengali AI agent; note how today's concept shows up in API behavior (context, attention, KV cache).","PHASE 7 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
31,2026-08-10,P7: Transformers Deep Dive | P8: Generative AI,"14 Build a Transformer from Scratch — The Capstone; 15 Attention Variants — Sliding Window, Sparse, Differential; 16 Speculative Decoding — Draft, Verify, Repeat; 01 Generative Models — Taxonomy & History; 02 Autoencoders & VAE",6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/14-build-a-transformer-capstone | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/15-attention-variants | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/07-transformers-deep-dive/16-speculative-decoding | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/08-generative-ai/01-generative-models-taxonomy-history/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/08-generative-ai/02-autoencoders-vae/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Marketing Assets (stretch),Optional stretch: generate a promotional image/asset variant for a CartQ vendor listing using today's generative technique.,
